text,label,sumber,kategori_penipuan
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
Glints: Lowongan baru: Digital Marketing - Tokopedia. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
GoPay: Top-up GoPay Rp1000000 BERHASIL. Saldo GoPay Anda: Rp200000.,0,GoPay,bukan_penipuan
Konfirmasi hadiah dengan transfer ke [NOMOR_REKENING].,1,SMS,undian palsu
Glints: Lowongan baru: Software Engineer - Shopee. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
Transfer uang ke [NOMOR_REKENING] untuk klaim hadiah Anda.,1,Facebook,undian palsu
LinkedIn: Perusahaan Tokopedia membuka lowongan Sales. Cek detail di LinkedIn.,0,LinkedIn,bukan_penipuan
"Halo, selamat! Anda menang undian berhadiah Rp250000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
"Promo pinjaman online, cair hari ini tanpa agunan. Hubungi [NOMOR_TELEPON].",1,SMS,penipuan pinjaman
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
Rekening Anda terancam diblokir. Hubungi QWERTY di [NOMOR_TELEPON].,1,SMS,phishing
Akun Grab Anda terancam diblokir. Klik [LINK] untuk menghindari.,1,SMS,phishing
Mandiri: Pembayaran Tokopedia Rp500000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
Mandiri: Pembayaran Tokopedia Rp750000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
Grab: Kode promo GRAB418 berhasil digunakan.,0,Grab,bukan_penipuan
"Halo, selamat! Anda menang undian berhadiah Rp1500000. Info lebih lanjut klik [LINK].",1,SMS,undian palsu
BCA: Transfer Rp100000 ke [NOMOR_REKENING] berhasil. Saldo Anda: Rp200000.,0,Bank SMS,bukan_penipuan
Grab: Kode promo GRAB900 berhasil digunakan.,0,Grab,bukan_penipuan
GoPay: Top-up GoPay Rp250000 BERHASIL. Saldo GoPay Anda: Rp300000.,0,GoPay,bukan_penipuan
Gojek: Diskon 20% GoRide untuk perjalanan berikutnya.,0,Gojek,bukan_penipuan
XL: Paket Xtra Combo 2GB Anda telah aktif. Nikmati internetan!,0,XL,bukan_penipuan
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
Shopee: Kode OTP Anda adalah [KODE_OTP]. Jangan bagikan ke siapa pun.,0,Shopee,bukan_penipuan
BNI: Kode OTP transaksi Anda adalah [KODE_OTP].,0,BNI,bukan_penipuan
GoPay: Top-up GoPay Rp750000 BERHASIL. Saldo GoPay Anda: Rp4700000.,0,GoPay,bukan_penipuan
BRI: Top-up OVO Rp300000 BERHASIL. Saldo Anda: Rp4700000.,0,BRI,bukan_penipuan
Grab: Promo GrabCar! Diskon 30% untuk perjalanan hari ini.,0,Grab,bukan_penipuan
"Sayang, aku sedang di bandara butuh biaya tambahan. Tolong transfer ke [NOMOR_REKENING].",1,WhatsApp,love scam
GoFood: Pesanan telah dikirim. Cek aplikasi untuk melacak driver.,0,GoFood,bukan_penipuan
Tokopedia: Pesanan #670768 telah dikirim oleh penjual. Lacak di aplikasi Tokopedia.,0,Tokopedia,bukan_penipuan
Permata: Pembayaran tagihan PLN Rp100000 berhasil. Ref: [NOMOR_TRANSAKSI].,0,Permata,bukan_penipuan
"Ma, aku kecelakaan, butuh uang cepat. Kirim ke rekening [NOMOR_REKENING] atas nama [NAMA_PRIBADI].",1,SMS,mama minta pulsa
Bank DEF: Akun Anda diblokir. Segera klik [LINK] untuk verifikasi.,1,SMS,phishing
Mandiri: Pembayaran Tokopedia Rp300000 BERHASIL. Ref: [NOMOR_TRANSAKSI].,0,Mandiri,bukan_penipuan
XL: Paket Xtra Combo 10GB Anda telah aktif. Nikmati internetan!,0,XL,bukan_penipuan
"Keluarga sakit, butuh bantuan biaya, kirim ke [NOMOR_REKENING] a.n [NAMA_PRIBADI].",1,WhatsApp,love scam
Glints: Lowongan baru: Sales - ABC. Lamar sekarang di Glints.,0,Glints,bukan_penipuan
GoPay: Top-up GoPay Rp1000000 BERHASIL. Saldo GoPay Anda: Rp3500000.,0,GoPay,bukan_penipuan
JobStreet: Lamaran Anda telah diterima perusahaan. Cek status di aplikasi.,0,JobStreet,bukan_penipuan
